Time [s],MideaIR
673.381278250,0
673.381789000,1
673.382353250,0
673.382864000,1
673.383428000,0
673.383939000,1
673.385577750,0
673.386088500,1
673.387727500,0
673.388238250,1
673.388802250,0
673.389313250,1
673.390952000,0
673.391462750,1
673.393102000,0
673.393612750,1
673.394177000,0
673.394687750,1
673.396326750,0
673.396837250,1
673.398476500,0
673.398986750,1
673.400626500,0
673.401136500,1
673.402776250,0
673.403286000,1
673.404926000,0
673.405435750,1
673.407076250,0
673.407585500,1
673.408151000,0
673.408660250,1
673.410300750,0
673.410809750,1
673.411375750,0
673.411884500,1
673.412450750,0
673.412959250,1
673.413525750,0
673.414033750,1
673.414600500,0
673.415108500,1
673.415675750,0
673.416183250,1
673.416750750,0
673.417257750,1
673.418901250,0
673.419407750,1
673.421051000,0
673.421557500,1
673.422125750,0
673.422632000,1
673.423200750,0
673.423707000,1
673.425351000,0
673.425856750,1
673.427500750,0
673.428006750,1
673.428575750,0
673.429081500,1
673.429650500,0
673.430156750,1
673.430725750,0
673.431231750,1
673.431800750,0
673.432306500,1
673.433950500,0
673.434456500,1
673.436100500,0
673.436606500,1
673.437175250,0
673.437681500,1
673.438250250,0
673.438756250,1
673.440400250,0
673.440906000,1
673.442550250,0
673.443056250,1
673.448292250,0
673.452656500,1
673.457076000,0
673.457581000,1
673.459225000,0
673.459730750,1
673.461375000,0
673.461880750,1
673.462450000,0
673.462955750,1
673.464600000,0
673.465105750,1
673.465675000,0
673.466181000,1
673.467825250,0
673.468330750,1
673.468900000,0
673.469405750,1
673.471050000,0
673.471555500,1
673.472125000,0
673.472630500,1
673.474275000,0
673.474780500,1
673.476425000,0
673.476930250,1
673.477499500,0
